Date Time,Temperature,Basel Relative Humidity,Basel Wind Speed [10 m]
20090114T0900,0.65052867,62,3.6234317
20090114T1000,1.3105286,59,2.4560864
20090114T1100,1.6505287,78,6.9468617
20090114T1200,1.5405287,87,15.298875
20090114T1300,2.5105286,87,15.184799
20090114T1400,3.0005286,87,17.316
20090114T1500,2.6005285,89,17.945948
20090114T1600,2.1405284,90,16.27004
20090114T1700,2.6905286,89,14.388066
20090114T1800,2.5905285,94,12.300643
20090114T1900,2.3905284,97,11.504656
20090114T2000,2.2005286,98,10.9839525
20090114T2100,1.8605287,97,8.87156
20090114T2200,1.5605286,96,7.920641
20090114T2300,1.1105287,96,7.168091
20090115T0000,0.78052866,95,4.6600966
20090115T0100,0.6305287,95,4.336678
20090115T0200,0.43052867,95,5.0264254
20090115T0300,0.25052866,95,3.5741313
20090115T0400,0.14052865,95,3.5039446
20090115T0500,0.21052867,95,4.652476
20090115T0600,0.43052867,96,6.1272
20090115T0700,0.13052866,95,4.00487
20090115T0800,0.49052867,93,0.5956885
20090115T0900,0.21052867,94,2.742756
20090115T1000,-0.08947134,91,5.9150395
20090115T1100,0.9405287,81,13.583788
20090115T1200,1.8505287,79,16.800106
20090115T1300,2.8605285,75,15.679173
20090115T1400,3.7805285,72,15.257071
20090115T1500,4.4105287,71,17.192606
20090115T1600,5.0205283,71,17.299599
20090115T1700,4.8905287,77,12.591451
20090115T1800,3.7905285,86,6.744709
20090115T1900,2.8905284,88,2.664
20090115T2000,1.5505286,92,3.7105224
20090115T2100,0.8305287,98,6.2134624
20090115T2200,0.37052867,97,8.2066765
20090115T2300,-0.28947133,96,12.630843
20090116T0000,-0.6794713,99,17.367157
20090116T0100,-0.7394713,95,18.140646
20090116T0200,-1.2894714,97,15.81438
20090116T0300,-1.6794714,96,14.557241
20090116T0400,-1.9594713,96,11.800047
20090116T0500,-2.2594714,96,10.961317
20090116T0600,-1.9394714,89,5.8668513
20090116T0700,-1.9794713,87,7.8666973
20090116T0800,-2.6094716,88,9.686122
20090116T0900,-2.8394713,88,10.971024
20090116T1000,-2.3794715,89,13.020938
20090116T1100,-0.6194713,89,10.971024
20090116T1200,1.2605287,86,10.3656645
20090116T1300,3.2005286,83,9.899905
20090116T1400,5.3605285,80,9.899905
20090116T1500,6.9805284,78,7.276183
20090116T1600,7.4505286,80,6.791894
20090116T1700,6.9905286,84,9.384694
20090116T1800,6.1005287,82,11.308671
20090116T1900,5.9305286,79,9.185972
20090116T2000,5.2405286,74,7.835059
20090116T2100,4.8105288,65,6.2191706
20090116T2200,4.6205287,61,5.0264254
20090116T2300,3.3805285,71,6.1503215
20090117T0000,3.5405285,75,7.0078893
20090117T0100,4.1905284,66,6.744709
20090117T0200,3.7005286,65,6.4046907
20090117T0300,3.8205285,66,5.842608
20090117T0400,3.2705286,73,5.2339296
20090117T0500,2.8005285,77,5.5625954
20090117T0600,0.50052863,77,5.848678
20090117T0700,0.62052864,77,4.4097047
20090117T0800,0.7605287,78,4.552245
20090117T0900,1.0405287,77,5.6449146
20090117T1000,0.5805287,86,6.270311
20090117T1100,1.6705287,90,6.2191706
20090117T1200,3.6705287,92,4.912173
20090117T1300,5.4005284,82,2.4560866
20090117T1400,7.1805286,84,2.742756
20090117T1500,9.340529,78,10.084568
20090117T1600,9.930529,68,15.597487
20090117T1700,9.220529,70,15.416712
20090117T1800,8.370529,74,13.575949
20090117T1900,7.7705283,81,9.354396
20090117T2000,7.4905286,83,10.3656645
20090117T2100,7.4805284,81,12.199259
20090117T2200,7.4805284,78,14.803788
20090117T2300,7.7305284,75,15.35213
20090118T0000,6.8805285,78,16.204477
20090118T0100,5.8205285,80,11.895886
20090118T0200,5.4005284,76,8.710098
20090118T0300,5.1505284,75,7.670285
20090118T0400,4.7005286,80,6.675965
20090118T0500,3.6705287,86,5.3876066
20090118T0600,1.9805287,98,4.765508
20090118T0700,1.4705287,98,5.117377
20090118T0800,1.2005286,97,5.6637416
20090118T0900,0.35052866,100,5.6637416
20090118T1000,1.6805286,90,5.394189
20090118T1100,4.2105284,79,4.976763
20090118T1200,6.0305285,77,6.1272
20090118T1300,7.4305286,74,8.27128
20090118T1400,7.3905287,89,28.87093
20090118T1500,7.2705283,90,33.833847
20090118T1600,6.790529,93,36.294987
20090118T1700,6.9505286,91,34.74657
20090118T1800,6.0205283,95,31.79883
20090118T1900,5.3405285,97,27.564356
20090118T2000,5.0905285,98,25.949057
20090118T2100,5.1905284,98,25.69759
20090118T2200,5.4205284,98,26.752981
20090118T2300,4.8705287,100,25.918955
20090119T0000,5.2005286,100,24.879536
20090119T0100,5.1705284,98,21.99535
20090119T0200,4.8005285,100,18.708792
20090119T0300,4.7405286,98,14.774998
20090119T0400,4.3905287,98,10.444103
20090119T0500,4.1605287,98,7.401894
20090119T0600,3.5105286,81,7.920641
20090119T0700,5.0305285,72,8.951199
20090119T0800,5.3805285,65,8.4788885
20090119T0900,4.5105286,68,8.322602
20090119T1000,3.7105286,80,10.555628
20090119T1100,5.2805285,79,12.933438
20090119T1200,6.6605287,72,14.417631
20090119T1300,9.090529,68,14.141801
20090119T1400,9.570529,67,24.630117
20090119T1500,10.160529,66,25.621529
20090119T1600,10.960529,67,23.38561
20090119T1700,10.590529,70,18.778837
20090119T1800,9.690529,73,21.261992
20090119T1900,9.170529,75,16.06593
20090119T2000,9.020529,76,13.186128
20090119T2100,9.270529,70,17.266748
20090119T2200,8.990529,74,15.074569
20090119T2300,8.980529,73,17.373285
20090120T0000,8.820529,69,20.39309
20090120T0100,8.330529,79,17.452759
20090120T0200,7.7005286,84,14.447136
20090120T0300,7.1605287,70,14.089008
20090120T0400,6.4105287,80,9.8604
20090120T0500,5.8305287,85,8.27128
20090120T0600,5.5505285,100,4.9553266
20090120T0700,5.4305286,100,3.7391024
20090120T0800,5.290529,100,3.4115846
20090120T0900,5.1105285,100,3.2518265
20090120T1000,5.3305287,97,1.5533656
20090120T1100,6.2305284,93,0.79920006
20090120T1200,7.2705283,89,0.9605189
20090120T1300,7.6805286,84,1.5533656
20090120T1400,6.8905287,74,3.2408962
20090120T1500,6.790529,73,3.1968002
20090120T1600,6.540529,73,3.0374272
20090120T1700,6.3305287,74,3.2189233
20090120T1800,5.790529,80,3.2518265
20090120T1900,5.290529,85,3.207881
20090120T2000,4.9305286,87,3.5840454
20090120T2100,4.5805287,88,3.2518265
20090120T2200,4.2305284,89,3.1067312
20090120T2300,3.9705286,90,2.742756
20090121T0000,3.7005286,91,2.4560864
20090121T0100,3.5305285,91,2.4123545
20090121T0200,3.4305286,92,2.3976
20090121T0300,3.3905284,92,2.4560864
20090121T0400,3.2805285,92,2.4560864
20090121T0500,3.2405286,93,2.4560864
20090121T0600,3.1405284,91,2.9784427
20090121T0700,3.2605286,90,1.6848617
20090121T0800,3.2605286,89,1.332
20090121T0900,3.4405286,87,2.382754
20090121T1000,3.9605286,85,3.6234317
20090121T1100,4.8305287,79,5.6449146
20090121T1200,5.7005286,73,4.0313635
